2026-06-11 23:30:39,220 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:41,230 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:30:43,391 | INFO    | src.command_queue | Executado: !barril por @ana.gamer
2026-06-11 23:30:45,049 | INFO    | src.command_queue | Executado: !barril por @lua_fps
2026-06-11 23:30:46,707 | INFO    | src.command_queue | Executado: !barco por @ana.gamer
2026-06-11 23:30:48,365 | INFO    | src.command_queue | Executado: !barril por @ana.gamer
2026-06-11 23:30:50,024 | INFO    | src.command_queue | Executado: !drop por @ana.gamer
2026-06-11 23:30:51,314 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=8)
2026-06-11 23:30:51,683 | INFO    | src.command_queue | Executado: !barril por @joao_zoeira
2026-06-11 23:30:53,342 | INFO    | src.command_queue | Executado: !formiga por @pedrocaos
2026-06-11 23:30:54,999 | INFO    | src.command_queue | Executado: !cura por @ana.gamer
2026-06-11 23:30:56,658 | INFO    | src.command_queue | Executado: !formiga por @lua_fps
2026-06-11 23:30:58,317 | INFO    | src.command_queue | Executado: !cura por @ana.gamer
2026-06-11 23:30:58,366 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@pedrocaos)
2026-06-11 23:30:59,975 | INFO    | src.command_queue | Executado: !barril por @pedrocaos
2026-06-11 23:31:01,634 | INFO    | src.command_queue | Executado: !barco por @joao_zoeira
2026-06-11 23:31:03,292 | INFO    | src.command_queue | Executado: !barril por @ana.gamer
2026-06-11 23:31:06,348 | INFO    | src.command_queue | Enfileirado: !formiga por @joao_zoeira (fila=1)
2026-06-11 23:31:06,501 | INFO    | src.command_queue | Executado: !formiga por @joao_zoeira
2026-06-11 23:31:10,904 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=1)
2026-06-11 23:31:10,905 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:12,915 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:14,922 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:16,081 | INFO    | src.cooldown | Descartado por cooldown global: !formiga (user=@pedrocaos)
2026-06-11 23:31:16,081 | INFO    | src.tiktok_listener | Simulacao rodando (tick 60)
2026-06-11 23:31:16,930 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:18,938 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:20,944 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:22,953 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:24,961 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:26,971 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:28,981 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:30,665 | INFO    | src.command_queue | Enfileirado: !formiga por @lua_fps (fila=1)
2026-06-11 23:31:30,989 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:31:32,999 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:34,020 | INFO    | src.command_queue | Enfileirado: !cura por @joao_zoeira (fila=2)
2026-06-11 23:31:35,006 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:31:37,016 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:31:37,062 | INFO    | src.command_queue | Enfileirado: !drop por @ana.gamer (fila=3)
2026-06-11 23:31:39,025 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:39,706 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=4)
2026-06-11 23:31:41,035 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:31:43,044 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:31:45,053 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:31:45,315 | INFO    | src.command_queue | Enfileirado: !barco por @lua_fps (fila=5)
2026-06-11 23:31:47,064 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:49,074 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:31:51,081 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:31:51,405 | INFO    | src.cooldown | Descartado por cooldown global: !cura (user=@joao_zoeira)
2026-06-11 23:31:53,088 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:31:53,490 | INFO    | src.command_queue | Enfileirado: !drop por @joao_zoeira (fila=6)
2026-06-11 23:31:55,099 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:31:55,423 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=7)
2026-06-11 23:31:57,107 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:31:59,116 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:01,124 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:03,130 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:32:05,136 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:32:07,143 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:32:08,209 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=8)
2026-06-11 23:32:08,209 | INFO    | src.tiktok_listener | Simulacao rodando (tick 80)
2026-06-11 23:32:09,153 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:11,163 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:32:13,173 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:32:15,182 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:17,190 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:19,196 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:32:21,204 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:32:23,181 | INFO    | src.command_queue | Enfileirado: !barril por @lua_fps (fila=9)
2026-06-11 23:32:23,212 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:25,222 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:32:27,233 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:27,974 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@joao_zoeira)
2026-06-11 23:32:29,244 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:32:31,253 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:32:33,264 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:35,272 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:36,370 | INFO    | src.command_queue | Enfileirado: !barril por @joao_zoeira (fila=10)
2026-06-11 23:32:37,283 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:32:38,982 | INFO    | src.command_queue | Enfileirado: !formiga por @pedrocaos (fila=11)
2026-06-11 23:32:39,291 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:41,301 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:32:43,310 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:44,776 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@lua_fps)
2026-06-11 23:32:45,316 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:32:46,613 | INFO    | src.command_queue | Enfileirado: !barco por @lua_fps (fila=12)
2026-06-11 23:32:47,326 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:49,333 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:32:50,539 | INFO    | src.command_queue | Enfileirado: !drop por @ana.gamer (fila=13)
2026-06-11 23:32:51,343 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:32:53,352 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:55,361 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:57,371 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:32:57,803 | INFO    | src.cooldown | Descartado por cooldown global: !barco (user=@pedrocaos)
2026-06-11 23:32:59,380 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:33:01,391 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:33:02,673 | INFO    | src.tiktok_listener | Simulacao rodando (tick 100)
2026-06-11 23:33:03,401 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:05,411 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:33:05,982 | INFO    | src.cooldown | Descartado por cooldown de usuario: !drop (user=@ana.gamer)
2026-06-11 23:33:07,420 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:33:08,532 | INFO    | src.command_queue | Enfileirado: !barco por @joao_zoeira (fila=14)
2026-06-11 23:33:09,429 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
