2026-06-22 20:45:38,333 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-22 20:45:38,444 | INFO    | websockets.server | connection open
2026-06-22 20:45:38,445 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-22 20:45:38,462 | INFO    | websockets.server | connection open
2026-06-22 20:45:38,463 | INFO    | src.panel_server | Overlay conectado (4 ativos)
2026-06-22 20:45:44,249 | INFO    | src.tiktok_listener | Presente executavel: Rose de @lua_fps
2026-06-22 20:45:44,249 | INFO    | src.command_queue | Enfileirado: Rose por @lua_fps (fila=1)
2026-06-22 20:45:44,257 | INFO    | src.command_queue | Executado: Rose por @lua_fps
2026-06-22 20:45:47,364 | INFO    | src.tiktok_listener | Presente executavel: tiny diny de @pedrocaos
2026-06-22 20:45:47,365 | INFO    | src.command_queue | Enfileirado: tiny diny por @pedrocaos (fila=1)
2026-06-22 20:45:47,371 | INFO    | src.command_queue | Executado: tiny diny por @pedrocaos
2026-06-22 20:45:56,447 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @ana.gamer
2026-06-22 20:45:56,447 | INFO    | src.command_queue | Enfileirado: tiktok por @ana.gamer (fila=1)
2026-06-22 20:45:56,452 | INFO    | src.command_queue | Executado: tiktok por @ana.gamer
2026-06-22 20:46:12,397 | INFO    | src.tiktok_listener | Presente executavel: tiktok de @joao_zoeira
2026-06-22 20:46:12,397 | INFO    | src.command_queue | Enfileirado: tiktok por @joao_zoeira (fila=1)
2026-06-22 20:46:12,404 | INFO    | src.command_queue | Executado: tiktok por @joao_zoeira
2026-06-22 20:46:22,754 | INFO    | src.tiktok_listener | Presente executavel: Rose de @joao_zoeira
2026-06-22 20:46:22,757 | INFO    | src.command_queue | Enfileirado: Rose por @joao_zoeira (fila=1)
2026-06-22 20:46:22,787 | INFO    | src.command_queue | Executado: Rose por @joao_zoeira
2026-06-22 20:46:26,475 | INFO    | src.tiktok_listener | Simulacao rodando (tick 20)
2026-06-22 20:46:57,769 | INFO    | src.tiktok_listener | Meta de likes batida por @joao_zoeira -> zumbi
2026-06-22 20:46:57,770 | INFO    | src.command_queue | Enfileirado: __likes__ por @joao_zoeira (fila=1)
2026-06-22 20:46:57,775 | INFO    | src.command_queue | Executado: __likes__ por @joao_zoeira
2026-06-22 20:47:01,326 | INFO    | src.tiktok_listener | Presente executavel: ice cream cone de @ana.gamer
2026-06-22 20:47:01,326 | INFO    | src.command_queue | Enfileirado: ice cream cone por @ana.gamer (fila=1)
2026-06-22 20:47:01,332 | INFO    | src.command_queue | Executado: ice cream cone por @ana.gamer
2026-06-22 20:47:06,624 | INFO    | src.panel_server | Overlay desconectado (3 ativos)
2026-06-22 20:47:06,624 | INFO    | src.panel_server | Overlay desconectado (2 ativos)
2026-06-22 20:47:06,624 | INFO    | src.panel_server | Overlay desconectado (1 ativos)
2026-06-22 20:47:06,624 | INFO    | src.panel_server | Overlay desconectado (0 ativos)
2026-06-22 20:47:06,625 | INFO    | __main__ | Encerrado pelo usuario (Ctrl+C)
